query_id,query,intent,difficulty,ground_truth
q0,Debug retrieval in RAG (beginner),debug,beginner,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q1,Design bm25 in RAG (beginner),design,beginner,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q2,Design vector db in RAG (intermediate),design,intermediate,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q3,Design latency in RAG (intermediate),design,intermediate,Use latency to improve retrieval by aligning representations and leveraging metadata.
q4,Debug rag in RAG (intermediate),debug,intermediate,Use rag to improve retrieval by aligning representations and leveraging metadata.
q5,Howto mpnet in RAG (advanced),howto,advanced,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q6,Howto ranking in RAG (beginner),howto,beginner,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q7,Howto bert in RAG (intermediate),howto,intermediate,Use bert to improve retrieval by aligning representations and leveraging metadata.
q8,Optimize ranking in RAG (advanced),optimize,advanced,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q9,Optimize mpnet in RAG (beginner),optimize,beginner,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q10,Design faiss in RAG (intermediate),design,intermediate,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q11,Optimize retrieval in RAG (beginner),optimize,beginner,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q12,Compare embeddings in RAG (intermediate),compare,intermediate,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q13,Debug prompting in RAG (beginner),debug,beginner,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q14,Optimize random forest in RAG (advanced),optimize,advanced,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q15,Debug reranker in RAG (beginner),debug,beginner,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q16,Design throughput in RAG (intermediate),design,intermediate,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q17,Debug rag in RAG (intermediate),debug,intermediate,Use rag to improve retrieval by aligning representations and leveraging metadata.
q18,Howto streamlit in RAG (intermediate),howto,intermediate,Use streamlit to improve retrieval by aligning representations and leveraging metadata.
q19,Compare reranker in RAG (advanced),compare,advanced,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q20,Howto embeddings in RAG (advanced),howto,advanced,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q21,Optimize faiss in RAG (beginner),optimize,beginner,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q22,Howto hallucination in RAG (intermediate),howto,intermediate,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q23,Compare fastapi in RAG (intermediate),compare,intermediate,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q24,Debug fastapi in RAG (advanced),debug,advanced,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q25,Debug fastapi in RAG (advanced),debug,advanced,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q26,Design bm25 in RAG (intermediate),design,intermediate,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q27,Optimize rag in RAG (intermediate),optimize,intermediate,Use rag to improve retrieval by aligning representations and leveraging metadata.
q28,Compare similarity in RAG (intermediate),compare,intermediate,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q29,Debug rag in RAG (intermediate),debug,intermediate,Use rag to improve retrieval by aligning representations and leveraging metadata.
q30,Howto mpnet in RAG (intermediate),howto,intermediate,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q31,Design similarity in RAG (intermediate),design,intermediate,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q32,Compare retrieval in RAG (advanced),compare,advanced,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q33,Howto random forest in RAG (intermediate),howto,intermediate,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q34,Optimize similarity in RAG (beginner),optimize,beginner,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q35,Compare reranker in RAG (advanced),compare,advanced,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q36,Compare vector db in RAG (intermediate),compare,intermediate,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q37,Debug retrieval in RAG (beginner),debug,beginner,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q38,Howto similarity in RAG (intermediate),howto,intermediate,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q39,Compare similarity in RAG (advanced),compare,advanced,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q40,Howto metadata in RAG (intermediate),howto,intermediate,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q41,Optimize rag in RAG (advanced),optimize,advanced,Use rag to improve retrieval by aligning representations and leveraging metadata.
q42,Optimize embeddings in RAG (beginner),optimize,beginner,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q43,Howto retrieval in RAG (beginner),howto,beginner,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q44,Design rag in RAG (advanced),design,advanced,Use rag to improve retrieval by aligning representations and leveraging metadata.
q45,Design faiss in RAG (intermediate),design,intermediate,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q46,Debug vector db in RAG (intermediate),debug,intermediate,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q47,Optimize metadata in RAG (advanced),optimize,advanced,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q48,Howto hallucination in RAG (advanced),howto,advanced,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q49,Design metadata in RAG (beginner),design,beginner,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q50,Design embeddings in RAG (intermediate),design,intermediate,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q51,Howto ranking in RAG (beginner),howto,beginner,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q52,Design random forest in RAG (beginner),design,beginner,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q53,Design random forest in RAG (advanced),design,advanced,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q54,Debug ranking in RAG (intermediate),debug,intermediate,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q55,Compare vector db in RAG (advanced),compare,advanced,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q56,Debug throughput in RAG (advanced),debug,advanced,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q57,Debug faiss in RAG (advanced),debug,advanced,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q58,Design bm25 in RAG (intermediate),design,intermediate,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q59,Design throughput in RAG (intermediate),design,intermediate,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q60,Optimize reranker in RAG (beginner),optimize,beginner,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q61,Design bm25 in RAG (beginner),design,beginner,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q62,Optimize ranking in RAG (intermediate),optimize,intermediate,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q63,Compare prompting in RAG (intermediate),compare,intermediate,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q64,Compare faiss in RAG (advanced),compare,advanced,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q65,Debug mpnet in RAG (intermediate),debug,intermediate,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q66,Optimize rag in RAG (advanced),optimize,advanced,Use rag to improve retrieval by aligning representations and leveraging metadata.
q67,Howto fastapi in RAG (advanced),howto,advanced,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q68,Howto mpnet in RAG (intermediate),howto,intermediate,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q69,Compare retrieval in RAG (advanced),compare,advanced,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q70,Optimize latency in RAG (advanced),optimize,advanced,Use latency to improve retrieval by aligning representations and leveraging metadata.
q71,Optimize latency in RAG (beginner),optimize,beginner,Use latency to improve retrieval by aligning representations and leveraging metadata.
q72,Howto hallucination in RAG (advanced),howto,advanced,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q73,Debug similarity in RAG (advanced),debug,advanced,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q74,Design mpnet in RAG (advanced),design,advanced,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q75,Howto throughput in RAG (intermediate),howto,intermediate,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q76,Design fastapi in RAG (intermediate),design,intermediate,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
