id,title,url,category,tags,text,days_old,source_score,citations
d0,Embeddings best practices and doc,https://example.com/embeddings/0,doc,"ui,transformers","This doc explains embeddings within RAG pipelines, covering optimization, trade-offs, and metadata usage.",2389,0.27063301091573716,209
d1,Bm25 best practices and benchmark,https://example.com/bm25/1,benchmark,"sklearn,api,faiss","This benchmark explains bm25 within RAG pipelines, covering optimization, trade-offs, and metadata usage.",2685,0.47809851817443594,135
d2,Random Forest best practices and benchmark,https://example.com/random-forest/2,benchmark,"transformers,ui","This benchmark explains random forest within RAG pipelines, covering optimization, trade-offs, and metadata usage.",2852,0.3704290413385827,133
d3,Embeddings best practices and blog,https://example.com/embeddings/3,blog,ui,"This blog explains embeddings within RAG pipelines, covering optimization, trade-offs, and metadata usage.",3240,0.6737482993415487,248
d4,Random Forest best practices and doc,https://example.com/random-forest/4,doc,"indexing,production","This doc explains random forest within RAG pipelines, covering optimization, trade-offs, and metadata usage.",2556,0.7837876228053213,267
d5,Evaluation best practices and tutorial,https://example.com/evaluation/5,tutorial,"transformers,production","This tutorial explains evaluation within RAG pipelines, covering optimization, trade-offs, and metadata usage.",1328,0.712286714931841,46
d6,Streamlit best practices and doc,https://example.com/streamlit/6,doc,"indexing,pytorch,ui","This doc explains streamlit within RAG pipelines, covering optimization, trade-offs, and metadata usage.",1338,0.34210351931321425,140
d7,Mpnet best practices and tutorial,https://example.com/mpnet/7,tutorial,"pytorch,indexing","This tutorial explains mpnet within RAG pipelines, covering optimization, trade-offs, and metadata usage.",2505,0.5278639391542481,200
d8,Random Forest best practices and benchmark,https://example.com/random-forest/8,benchmark,"pytorch,production,api","This benchmark explains random forest within RAG pipelines, covering optimization, trade-offs, and metadata usage.",2298,0.4906087842726308,241
d9,Throughput best practices and paper,https://example.com/throughput/9,paper,"ui,python,sklearn","This paper explains throughput within RAG pipelines, covering optimization, trade-offs, and metadata usage.",874,0.7901932831266039,2
